DATE,GGGDTAJPA188N
1994-01-01,84.992
1995-01-01,95.898
1996-01-01,101.034
1997-01-01,106.677
1998-01-01,117.941
1999-01-01,131.12
2000-01-01,137.891
2001-01-01,146.832
2002-01-01,156.824
2003-01-01,162.731
2004-01-01,171.66
2005-01-01,176.783
2006-01-01,176.385
2007-01-01,175.426
2008-01-01,183.416
2009-01-01,201.043
2010-01-01,207.852
2011-01-01,222.087
2012-01-01,229.008
2013-01-01,232.469
2014-01-01,236.069
2015-01-01,231.551
2016-01-01,236.335
2017-01-01,234.988
2018-01-01,238.2
